City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,san policarpo,12.1791,125.5072,25.82,88,100,8.16,PH,1673507530
137,airai,-8.9266,125.4092,19.12,82,100,1.51,TL,1673507531
138,constitucion,-35.3333,-72.4167,13.1,58,12,3.16,CL,1673507531
139,akureyri,65.6835,-18.0878,-6.03,97,100,0.56,IS,1673507531
140,hilo,19.7297,-155.09,21.81,78,40,2.57,US,1673507532
141,tasiilaq,65.6145,-37.6368,-12.91,62,100,1.79,GL,1673507532
142,roebourne,-20.7833,117.1333,36.02,35,5,7.83,AU,1673507533
143,buta,2.7858,24.73,23.93,53,100,0.1,CD,1673507533
144,kapaa,22.0752,-159.319,19.99,72,0,2.06,US,1673507533
145,kodiak,57.79,-152.4072,0.73,93,100,2.06,US,1673507534
146,kaitangata,-46.2817,169.8464,13.03,69,93,2.52,NZ,1673507534
147,victoria,22.2855,114.1577,23.44,85,96,5.36,HK,1673507285
148,russkiy aktash,55.0384,52.1214,-14.33,79,100,7.54,RU,1673507535
149,guerrero negro,27.9769,-114.0611,15.21,74,13,1.22,MX,1673507536
150,general roca,-39.0333,-67.5833,15.35,41,10,3.91,AR,1673507536
151,tevaitoa,-16.7833,-151.5,25.66,86,100,9.42,PF,1673507537
152,east london,-33.0153,27.9116,27.03,76,18,3.88,ZA,1673507405
153,vung tau,10.346,107.0843,26.39,77,49,6.01,VN,1673507398
154,namatanai,-3.6667,152.4333,27.77,75,100,2.86,PG,1673507538
155,ucluelet,48.9329,-125.5528,8.94,86,100,0.89,CA,1673507538
156,hobyo,5.3505,48.5268,26.98,62,24,10.47,SO,1673507539
157,horki,54.2861,30.9842,-8.03,88,83,6.84,BY,1673507539
158,riberalta,-10.9833,-66.1,22.26,98,100,0.83,BO,1673507540
159,goma,-1.6792,29.2228,19.8,75,100,0.75,CD,1673507540
160,grand gaube,-20.0064,57.6608,28.54,59,23,2.68,MU,1673507542
161,north branch,45.5113,-92.9802,0.2,97,100,0.89,US,1673507542
162,lorengau,-2.0226,147.2712,27.8,80,100,3.29,PG,1673507542
163,tahe,52.3333,124.7333,-14.27,94,100,1.4,CN,1673507543
164,medea,36.2642,2.7539,7.55,95,96,0.39,DZ,1673507543
165,coruripe,-10.1256,-36.1756,24.69,77,90,4.09,BR,1673507544
166,coquimbo,-29.9533,-71.3436,16.85,100,100,0.51,CL,1673507544
167,green river,41.5286,-109.4662,-5.78,95,10,1.47,US,1673507545
168,waingapu,-9.6567,120.2641,29.56,64,59,4.19,ID,1673507545
169,cap malheureux,-19.9842,57.6142,28.59,59,30,2.68,MU,1673507545
170,hamilton,39.1834,-84.5333,12.64,96,100,3.6,US,1673507402
171,jacareacanga,-6.2222,-57.7528,21.79,99,100,1.1,BR,1673507546
172,marawi,7.9986,124.2928,20.42,99,100,2.05,PH,1673507546
173,kloulklubed,7.0419,134.2556,26.28,77,100,6.85,PW,1673507546
174,kamaishi,39.2667,141.8833,8.72,72,35,2.59,JP,1673507280
175,mayor pablo lagerenza,-19.9309,-60.7718,23.3,85,1,1.43,PY,1673507547
176,sokna,60.24,9.9235,1.19,99,89,0.98,NO,1673507547
177,souillac,-20.5167,57.5167,28.21,65,40,6.17,MU,1673507547
178,arraial do cabo,-22.9661,-42.0278,23.42,96,100,6.66,BR,1673507548
179,namibe,-15.1961,12.1522,22.18,78,94,2.08,AO,1673507548
180,roald,62.5833,6.1333,7.09,81,75,5.66,NO,1673507548
181,aklavik,68.2191,-135.0107,-29.51,98,96,0.41,CA,1673507549
182,talara,-4.5772,-81.2719,20.88,80,100,5.47,PE,1673507549
183,pandan,14.0453,124.1694,25.84,85,100,6.68,PH,1673507549
184,pochutla,15.7432,-96.4661,22.12,77,0,1.45,MX,1673507549
185,sola,-13.8833,167.55,26.41,82,100,5.33,VU,1673507550
186,ilulissat,69.2167,-51.1,-30.56,79,20,2.78,GL,1673507550
187,brae,60.3964,-1.353,6.14,81,100,2.22,GB,1673507550
188,saint george,37.1041,-113.5841,4.33,81,0,2.06,US,1673507551
189,upernavik,72.7868,-56.1549,-20.88,90,100,3.72,GL,1673507551
190,jiangyou,31.7667,104.7167,15.37,51,2,2.05,CN,1673507552
191,kamina,-8.7386,24.9906,17.3,97,100,0.08,CD,1673507553
192,esperance,-33.8667,121.9,21.3,69,24,6.31,AU,1673507553
193,mabaruma,8.2,-59.7833,21.5,99,99,0.89,GY,1673507553
194,usinsk,65.9939,57.5281,-10.84,95,98,5.74,RU,1673507554
195,jinchang,38.4953,102.1739,-2.94,45,92,11.03,CN,1673507554
196,saint-augustin,51.226,-58.6502,-18.2,87,20,4.07,CA,1673507555
197,howard springs,-12.497,131.047,32.21,75,100,2.73,AU,1673507556
198,saint anthony,45.0205,-93.218,0.69,91,100,6.17,US,1673507556
199,ahipara,-35.1667,173.1667,19.3,79,21,2.9,NZ,1673507557
200,heihe,50.2441,127.4902,-13.68,95,100,1.21,CN,1673507557
201,cabo san lucas,22.8909,-109.9124,20.84,61,0,0.78,MX,1673507557
202,alindao,5.0267,21.2088,26.1,27,100,2.52,CF,1673507557
203,taltal,-25.4,-70.4833,18.84,85,31,0.47,CL,1673507558
204,codrington,-38.2667,141.9667,20.52,66,11,5.77,AU,1673507559
205,fortuna,40.5982,-124.1573,14.19,93,100,11.83,US,1673507559
206,port moresby,-9.4431,147.1797,26.36,82,100,1.0,PG,1673507560
207,zhangjiakou,40.81,114.8794,0.81,53,100,1.38,CN,1673507560
208,fukue,32.6881,128.8419,15.2,94,75,1.54,JP,1673507560
209,haines junction,60.7522,-137.5108,-11.18,97,100,0.53,CA,1673507561
210,talnakh,69.4865,88.3972,-33.02,97,100,3.62,RU,1673507562
211,taoudenni,22.6783,-3.9836,15.49,52,2,4.57,ML,1673507563
212,tezu,27.9167,96.1667,25.08,25,0,1.75,IN,1673507564
213,tecoanapa,16.5167,-98.75,22.27,86,0,1.83,MX,1673507564
214,vao,-22.6667,167.4833,24.71,66,0,2.98,NC,1673507564
215,yanam,16.7333,82.2167,28.93,44,4,1.4,IN,1673507565
216,sao jose da coroa grande,-8.8978,-35.1478,25.0,78,60,3.87,BR,1673507565
217,torit,4.4133,32.5678,30.15,26,16,2.46,SS,1673507566
218,udaipura,23.0833,78.5,24.26,30,0,2.43,IN,1673507566
219,suntar,62.1444,117.6319,-36.11,99,100,1.15,RU,1673507568
220,chuy,-33.6971,-53.4616,18.26,91,75,1.6,UY,1673507568
221,pacific grove,36.6177,-121.9166,14.16,87,40,1.54,US,1673507568
222,snezhnogorsk,69.1933,33.2531,-2.12,94,100,6.43,RU,1673507568
223,lobito,-12.3481,13.5456,24.32,74,100,1.31,AO,1673507569
224,manggar,-2.8833,108.2667,29.21,66,96,3.52,ID,1673507569
225,saskylakh,71.9167,114.0833,-37.76,97,100,2.53,RU,1673507569
226,matveyevka,52.15,56.1833,-22.29,93,100,1.52,RU,1673507570
227,victor harbor,-35.5667,138.6167,27.6,75,0,0.45,AU,1673507570
228,walvis bay,-22.9575,14.5053,21.16,73,100,4.43,NA,1673507571
229,port blair,11.6667,92.75,29.02,58,20,5.14,IN,1673507434
230,maceio,-9.6658,-35.7353,22.69,94,0,1.54,BR,1673507571
231,dhidhdhoo,6.8833,73.1,26.12,67,100,3.92,MV,1673507572
232,ibb,13.9667,44.1833,17.65,46,99,1.38,YE,1673507572
233,vila franca do campo,37.7167,-25.4333,17.23,94,93,4.86,PT,1673507572
234,sonkovo,57.7782,37.1571,-9.44,87,100,6.39,RU,1673507573
235,bambous virieux,-20.3428,57.7575,28.45,65,40,6.17,MU,1673507574
236,necochea,-38.5473,-58.7368,14.53,85,0,2.96,AR,1673507574
237,sur,22.5667,59.5289,21.75,59,27,9.47,OM,1673507574
238,bernay,49.1667,0.6667,11.02,84,100,6.71,FR,1673507575
239,wurzen,51.3667,12.7333,9.3,77,100,9.21,DE,1673507575
240,harper,4.375,-7.7169,25.25,84,11,1.28,LR,1673507576
241,polovinnoye,54.7914,65.9864,-12.7,76,100,8.13,RU,1673507576
242,kutum,14.2,24.6667,14.05,29,32,3.29,SD,1673507576
243,luderitz,-26.6481,15.1594,19.65,71,88,4.07,NA,1673507577
244,los llanos de aridane,28.6585,-17.9182,16.86,64,75,8.75,ES,1673507578
245,beringovskiy,63.05,179.3167,-19.79,97,100,4.24,RU,1673507578
246,tiarei,-17.5333,-149.3333,25.0,88,100,6.15,PF,1673507578
247,varkaus,62.3153,27.873,-1.5,97,100,5.14,FI,1673507579
248,sungaipenuh,-2.0833,101.3833,25.79,59,100,2.04,ID,1673507580
249,ostrovnoy,68.0531,39.5131,-1.77,87,100,10.72,RU,1673507581
250,gorham,43.6795,-70.4442,-3.75,72,100,2.57,US,1673507581
